Unmapped Server CIs (119 total)
==================================================
Name                           | SLA             | OS/DB System
--------------------------------------------------
DELETE-ME-TEST                 | None            | None
localhost                      | None            | None
TEST-SERVER-005                | High            | None
srv-test-01                    | None            | Windows Server 2022
fritz.box                      | None            | None
apachebr1                      | Low             | Cent OS 7.4
apachebr2                      | Low             | Cent OS 6.8
asr3                           | High            | HP-UX 11.23 PARisc 64Bit
asr4                           | Medium          | HP-UX 11.23 PARisc 64Bit
BRM-VRS-67                     | High            | VMware ESXi 7.0
BRM-SMS-VCSP01                 | High            | VMware Photon OS (64-bit) vCenter 7.0
ambopuskl                      | High            | None
BRM-APP-VOIP02                 | None            | None
Puppet                         | High            | Cent OS 7.0
Test                           | dsdas           | None
RZHPUX02                       | Medium          | HP-UX 11.31 ia64
ADM3                           | Medium          | HP-UX 11.23 PARisc 64Bit
RZHPUX04                       | High            | HP-UX 11.31 ia64
Meiner                         | fdsfsd          | None
RZHPUX01                       | Medium          | HP-UX 11.31 ia64
brm-net-ngxld01                | Medium          | None
brm-mos-vdi06                  | Base            | Ubuntu
brm-net-ngxbg1                 | Medium          | None
brm-sql-sst02                  | Medium          | None
brm-vrs-21                     | Medium          | VMware ESXi 5.5
brm-vrs-23                     | Medium          | VMware ESXi 6.5
brm-mos-log1                   | Base            | Ubuntu
net-serv-db-01                 | Medium          | None
brm-mos-vdi01                  | Base            | Debian Linux 10.x
brm-sql-sst01                  | Medium          | None
brm-tst-tdb01                  | Low             | Cent OS 7.0
taurus2                        | Base            | Gaia
brm-sms-vnx01                  | Low             | Cent OS 7.0
brm-vrs-20                     | Medium          | VMware ESXi 5.5
hades2                         | High            | Gaia
hades1                         | High            | Gaia
TotemBR1                       | Medium          | Cent OS 6.8
vparfor5                       | Medium          | HP-UX 11.31 ia64
BOV-VRS-04                     | High            | VMware ESXi 7.0
BOV-VRS-03                     | High            | VMware ESXi 7.0
BRM-APP-YMS01                  | None            | Ubuntu
BRM-APP-YMS03                  | None            | Ubuntu
BRM-APP-THWIKI                 | Low             | None
BRM-APP-VOIP01                 | None            | None
BRM-APP-YMS02                  | None            | Ubuntu
BRM-PROTECT-02                 | High            | VMware ESXi 7.0
BRM-SMS-VCSP01-witness         | Low             | VMware ESXi 6.5
BRM-PROTECT-01                 | High            | VMware ESXi 7.0
